Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
.406 Ventures,https://www.406ventures.com/,"Boston, Massachusetts, United States",USA,"2. Prototype,3. Early Revenue",,VC,,
01booster,https://01booster.co.jp/,,Japan,,,VC,,
1confirmation,https://www.1confirmation.com/,,,,,VC,,
1Flourish Capital,https://www.1flourish.com/,,,"2. Prototype,3. Early Revenue",,VC,,
1Up Ventures,https://1upfund.com/,,,"2. Prototype,3. Early Revenue",,VC,,
2B Angels,http://www.2b-angels.com,,,"2. Prototype,3. Early Revenue",,VC,,
2B-Community,https://www.2b-community.com/,,,"2. Prototype,3. Early Revenue",,VC,,
2C Invest,https://www.2cinvest.fr/,"2, rue Antoine de Saint Exupéry 69002 LYON",France,4. Scaling,,Family office,,
2M Companies,http://www.2m.com,"Dallas, Texas, United States",USA,,,Family office,,
2M2D - Tomorrow Today,https://www.2m2d.no/,,Norway,,,Other,,
3D Innotech,http://www.3d-innotech.com/,,,"2. Prototype,3. Early Revenue",,VC,,
3E Bioventures,http://www.3ebiovc.com/en/,China,"USA,China",3. Early Revenue,,VC,,
3L Capital,https://3lcap.com/,"1100 Glendon Avenue PH1 Los Angeles, CA 90024",USA,,,Other,,
3Rodeo,https://3rodeo.com/,,,,,VC,,
3T Capital,http://www.3tcapital.com/,"46, rue Barrault 75634 PARIS Cedex 13 France",France,3. Early Revenue,,Other,$300000,
3TS Capital Partners,https://3tscapital.com,"Kaisaniemenkatu 2B, 8th floor FIN-00100 Helsinki, Finland","Finland,Poland,Bulgaria,Luxembourg,Austria,Turkey,Czech Republic,Slovakia,Hungary","3. Early Revenue,4. Scaling,5. Growth","We invest in exceptional high growth SMEs, which are either proven businesses becoming local leaders or truly innovative global challengers. As a stage-agnostic investor we typically invest in the range of €300,000 to €10 million to finance expansion plans, acquisitions and buyouts.

3TS primarily targets investments in the broader TMT sectors including Technology & Internet (Software, Hardware, Mobile, Ecommerce, etc.), Media & Communications (Digital Media, Operators, etc.) and Technology-Enabled Services (Consumer and Business Services, Healthcare Services, etc.).",VC,$250000,$12000000
3VC,https://www.three.vc/,"Seilergasse 9, 1010 Vienna, Austria","Austria,Bulgaria,Croatia,Czech Republic,Estonia,Germany,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Switzerland,Ukraine","3. Early Revenue,4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbes’ Midas List) with the ability to proactively support these teams.",VC,$1000000,$5000000
4Tech Capital Ventures,https://www.4tech-capital.com/,,,"3. Early Revenue,4. Scaling",,VC,,
5 Square,https://5square.nl/,,Netherlands,,,Other,,
5AM Ventures,https://5amventures.com/,USA,USA,3. Early Revenue,,VC,,
5M Ventures,https://www.5m-ventures.com/,6 Rue du Général Clergerie 75116 Paris,France,4. Scaling,,Other,,
7 Gate Ventures,https://7gate.vc/,,,,,VC,,
7percent Ventures,http://www.7percent.vc,"207 Regent Street, London, United Kingdom","USA,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","2. Prototype,3. Early Revenue","We invest in frontier (i.e. deeptech) and transformative technologies (fundamentally changing the dynamics of a market, the way the sector works).
Our sweet spot is first or second money-in, including the conceptual and pre-revenue rounds. We invest between $100k and $2m, depending on stage, with an average first investment of $500k.",VC,$100000,$2000000
7wire Ventures,https://www.7wireventures.com/,,,"3. Early Revenue,4. Scaling",,VC,,
8-Bit Capital,https://8bitcapital.com/,,,"2. Prototype,3. Early Revenue",,VC,,
8VC,https://8vc.com,"Pier 5, Suite 101 San Francisco, CA 94111","USA,Israel,Canada",2. Prototype,,VC,,
9Mile Labs,https://www.9milelabs.com/,,,,,VC,,
10Branch,http://www.10branch.com,"Portland, Oregon, United States",USA,,,Family office,,
10K Ventures,https://www.10kventures.co/,"Berlin, Germany","Kenya,Nigeria,Brazil,Colombia,Mexico,India,Indonesia,Philippines,Singapore,Vietnam,France,Germany,Spain,UK,Egypt,Israel,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups and funds globally

Our (Hypo)thesis here 👉
https://10kv.notion.site/The-10KV-Hypo-thesis-c1bf235da3ea426eb79a3a6eabc2b92c",Family office,$100000,$200000
11.2 Capital,http://www.112capital.com/about.html,USA,"USA,Canada",3. Early Revenue,,VC,,
13 Ventures,https://13.ventures/,USA,USA,,"We invest in consumer-facing companies that are generating revenue, with a clear growth trajectory and with a path to profitability.",VC,,
14W,http://www.14w.com/,,,,,VC,,
21M Capital,https://21mcapital.com/,,,,,VC,,
27V (Twenty Seven Ventures),https://twentyseven.ventures/,"Cayman Islands, KY","USA,Canada,UK,Hong Kong,Taiwan,New Zealand","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in global EdTech and Future of Work startups at the Pre-Seed/Seed stages. Check size ranging from $25K-$250K, avg is $100K.",VC,$25000,$250000
39 North Capital,http://www.39northcapital.com/,"New York, New York, United States",USA,,,Family office,,
42K Investimentos,http://www.42kinvest.com.br,"Florianópolis, Santa Catarina, Brazil",Brazil,,,Corporate VC,,
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners. ,Angel network,$20000,$500000
83North,https://www.83north.com/,UK,"Israel,UK",3. Early Revenue,,VC,,
122 West Ventures,https://122west.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
137 Ventures,http://137ventures.com,,,,,VC,,
208 Seed Ventures,https://www.208seedventures.com/,,,,,Angel network,,
212,https://212.vc/,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary","4. Scaling,5. Growth","We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We invest in all types of software, deep tech, and enterprise hardware.",VC,$1000000,$5000000
212Founders,https://www.212founders.ma/,"179 Angle des Boulevards de Londres et de la Résistance, Casablanca 20250, Morocco",Morocco,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Moroccan startups after a 6-month incubation program.,"Incubator, Accelerator",$100000,$1000000
360 Capital,https://www.360cap.vc/,"13 Avenue de l’Opéra, 75001 Paris","France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. ",VC,$150000,$8000000
365.fintech,https://www.365fintech.vc/,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia ","Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria","3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. ",VC,$50000,$500000
415 Capital,http://415capital.com/,,UK,,,VC,,
500 Falcons,https://mena.500.co/,,,"2. Prototype,3. Early Revenue",,VC,,
574 Invest by SNCF,https://574invest.com,France,France,"3. Early Revenue,4. Scaling","We invest in mobility, industry 4.0 and environmental startups to help SNCF group deliver on its purpose and to boost the growth of the mobility ecosystem, while protecting our planet. ",Corporate VC,$500000,$5000000
808 Ventures,https://www.808ventures.vc,Australia,Australia,,,VC,,
1337 Ventures,https://1337.ventures/,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia ","Malaysia,Vietnam,Philippines,Thailand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in ideation and early stage startups that are looking to serve ASEAN markets. ,VC,$2500,$50000
1517 Fund,https://www.1517fund.com/,USA,USA,"2. Prototype,3. Early Revenue",,VC,,
1776 Ventures,https://www.1776.ventures/,,USA,,"We only invest in seed stage startups in govtech, fintech, smart cities, transportation, education, health, and energy.",Other,,
1863 Ventures,https://1863ventures.net/,,,"2. Prototype,3. Early Revenue",,"Incubator, Accelerator",,
1955 Capital,http://1955.capital/,,,,,VC,,
1984.vc,http://1984.vc/,,USA,"2. Prototype,3. Early Revenue",,VC,,
2048 Ventures,https://www.2048.vc/,"New York, NY 10001, USA","USA,Canada","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks. 
 
First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the industry they are building in.
 
We look for companies that are differentiated and defensible through data and technology.
 
Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.
 
Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR. ",VC,$300000,$600000
2150,https://www.2150.vc/,"London, UK","UK,USA,Denmark,Finland,Germany,France,Sweden,Spain","4. Scaling,3. Early Revenue,5. Growth","We invest in technology companies that seek to sustainably reimagine and reshape the urban environment. 2150’s investment thesis focuses on major unsolved problems across what it calls the ‘Urban Stack’, which comprises every element of the built environment, from the way our cities are designed, constructed and powered, to the way people live, work and are cared for.
",VC,$1000000,$7000000
4490 Ventures,http://4490.ventures/,,,"3. Early Revenue,4. Scaling",,VC,,
A Capital,https://acapital.com/,,,"2. Prototype,3. Early Revenue",,VC,,
A Plus Finance,https://www.aplusfinance.com/activite,"8 Rue Bellini, 75016 Paris",France,"3. Early Revenue,4. Scaling",,VC,$300000,
A-6684 Capital,https://www.a6684capital.com/,,,"5. Growth,6. Pre-IPO",,VC,,
A-Force Ventures,https://www.aforceventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
A-Venture,https://a-venture.eu/en/,33 avenue Foch 75116 Paris,"France,Luxembourg,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in French, Luxembourgish and German startups, operating in the environment, mobility and hospitality sectors.",VC,$30000,$1000000
A2B Ventures,http://www.a2bventures.com,"New York, New York, United States",USA,,,Family office,,
AAF Group,http://www.aquagrofund.com/,,,"5. Growth,6. Pre-IPO",,VC,,
AB Private Credit Investors,https://www.alliancebernstein.com/sites/alternatives/investments/us/private-credit-investors/home.htm,"Austin, Texas, United States",USA,,,Corporate VC,,
Abac Capital,http://www.abaccapital.com/en/,,UK,,,VC,,
ABB Technology Ventures,https://new.abb.com/about/technology/ventures,"Zürich, Zurich, Switzerland","Israel,USA,Canada,Switzerland",3. Early Revenue,,Corporate VC,,
Abbott Ventures,http://www.abbottventures.com,"Carthage, Illinois, United States",USA,,,Corporate VC,,
AbbVie Biotech Ventures,https://www.abbvie.com/partnerships/abbvie-ventures.html,"North Chicago, Illinois, United States",USA,,,Corporate VC,,
ABC Dream Ventures,http://adventures.co.jp,"Osaka, Osaka, Japan",Japan,,,Corporate VC,,
Aberdare Ventures,http://aberdare.com/,,,"4. Scaling,5. Growth",,VC,,
Abies Ventures,http://abies.vc/,Japan,"USA,Canada,Japan",3. Early Revenue,,VC,$100000,
Abingworth,https://www.abingworth.com,UK,"USA,UK",3. Early Revenue,,VC,$15000000,
ABN AMRO Ventures,https://www.abnamro.com/en/about-abnamro/in-society/innovation/abnamro-ventures/index.html,"Amsterdam, Noord-Holland, The Netherlands",Netherlands,,,Corporate VC,,
ABS Capital Partners,https://www.abscapital.com/,"Baltimore, Maryland, United States",USA,,,Other,,
ABS Ventures,http://www.absventures.com/,"Waltham, Massachusetts, United States",USA,,,Other,,
Abstract Ventures,https://www.abstractvc.com/,,,,,VC,,
Abstraction Capital,https://abstraction.vc,"9237 Ward Parkway, Kansas City, MO",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed rounds for companies building products in the developer tool and cloud infrastructure space.,VC,$50000,$400000
Acadiana Angels,http://acadianaangels.com/,,,,,Angel network,,
Accel Partners,https://www.accel.com/,"1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom ","UK,USA,France,India","3. Early Revenue,4. Scaling",,VC,,
Accelerator Ventures,https://acceleratorventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Accelero Capital,https://www.accelerocapital.com/,,France,,,Other,,
AccelHub Venture Partners,https://www.accelhub.co/,,,,,Angel network,,
Accelmed,http://www.accelmed.co.il/,,,5. Growth,,VC,,
Access Industries,http://www.accessindustries.com,"New York, New York, United States",USA,,,Corporate VC,,
Access Medical Ventures,http://www.accessmv.com/,,,"5. Growth,6. Pre-IPO",,VC,,
Access Venture Partners,https://www.accessvp.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Access Ventures (HK),https://www.accessvc.co/,"Unit 2A, 2nd Floor, Beverly House, 93-107 Lockhart Road, Wan Chai, Hong Kong","Vietnam,Indonesia",,,Other,,
Access Ventures (US),https://accessventures.org/,"Westminster, Colorado, United States",USA,,,Other,,
Access2Net,https://www.access2net.com/,"36, rue du Mont Thabor - 75001 Paris",France,,,Other,,
Accomplice,https://accomplice.co/,"Cambridge, Massachusetts, United States",USA,,,Other,,
Accord Ventures,http://accordventures.co.jp/,,Japan,,,VC,,
ACE and Company,http://www.aceandcompany.com/,,,,,VC,,
Ace Management by Tikehau Capital,https://www.acemanagement.fr/,France,France,"3. Early Revenue,4. Scaling",,VC,$500000,
AceCap - Acequia Capital,https://acecap.com/,,USA,,,Other,,
Achieve Partners,https://www.achievepartners.com/,,,,,Other,,
ACME Capital,https://www.acme.vc/,USA,USA,3. Early Revenue,,VC,,
Acorn Capital,https://acorncapital.com.au,Australia,Australia,,,VC,$3000000,
Acquis Capital,http://www.acquiscapital.com/,"Boston, Massachusetts, United States",USA,,,Family office,,
Acre Impact Capital,https://www.acre.capital/,,,,,Other,,
Acre Venture Partners,http://acre.vc/,USA,USA,3. Early Revenue,,VC,,
Acrew Capital,https://acrewcapital.com/,"3004 16th St, San Francisco, CA 94103, United States",USA,,,Other,,
Acronym Venture Capital,https://acronymvc.com/,"16590 Germaine Dr, Delray Beach, FL 33446","USA,Canada","3. Early Revenue,4. Scaling","We invest in Late Seed and Series A venture capital financing rounds of software/internet/tech companies. We invest primarily into Enterprise Saas companies, Fintech, Hospitality Tech, Real Estate / PropTech, Workflow Tech, E-commerce, and Omni Channel Consumer Brands. Companies must have at least $1m in ARR. ",VC,$350000,$3000000
Act One Ventures,https://www.actoneventures.com/,USA,USA,,,VC,$300000,
Acta Technologies,https://actatechs.com/,Turkey,Turkey,,,VC,,
Activant Capital Group,http://www.activantcapital.com,,,,,VC,,
Activate Venture Partners,https://www.activatevp.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Active Capital,https://www.activecapital.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Active Capital Company,https://www.activecapitalcompany.com/,,Netherlands,,,PE fund,,
Active Impact Investments,https://www.activeimpactinvestments.com/,"402-106 West 1st Street,  North Vancouver, BC  V7M 2E7, Canada","USA,Canada","4. Scaling,3. Early Revenue","We invest in seed stage companies companies facilitating the transition from finite to infinite sources of energy, food, water & products. ",VC,$500000,$1500000
Active Partners,https://active.partners/,,UK,,,VC,,
Active Venture Partners,http://www.active-vp.com/,,,,,VC,,
Acton Capital,https://actoncapital.com/,"Widenmayerstrasse 29, Munich, 80538, DE","Germany,UK,Sweden,Canada,France,Spain,USA","3. Early Revenue,4. Scaling,5. Growth",We invest with a clear focus on tech-enabled business models throughout Europe and North America – B2C or B2B – around Series A/B.,VC,$3000000,$12000000
Acuitas Investments,https://acuitasinvestments.com/,"Seattle, Washington, United States",USA,,,Family office,,
Acumen Fund,https://acumen.org/,,,,,VC,,
Acumen Ventures,https://www.acumenvc.com/,Australia,Australia,3. Early Revenue,,VC,,
Ada Ventures,https://www.adaventures.com/,UK,UK,3. Early Revenue,,VC,,
Adamas Finance Asia,http://www.adamasfinance.com/,,Hong Kong,,,VC,,
Adams Capital Management,https://www.acm.com/,"Sewickley, Pennsylvania, United States",USA,,,Other,,
Adams Street Partners,https://www.adamsstreetpartners.com/,,,"4. Scaling,5. Growth",,VC,,
Adara Ventures,http://www.adaravp.com/about/,Luxembourg,Luxembourg,3. Early Revenue,,VC,$2000000,
AddVenture,https://addventure.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
AddVentures by SCG,https://www.addventures.co.th/,"Bangkok, Krung Thep, Thailand",Thailand,,,Corporate VC,,
Adelie Capital,https://adelie.vc/,"8 place de l'Opéra, 75009 Paris, France","France,UK,Germany,Switzerland,Spain,Italy,Belgium","3. Early Revenue,4. Scaling,5. Growth","We invest in fast-growing European tech companies powered by ambitious teams and with a great potential for scalability. We are sector agnostic: we believe in entrepreneurs, the explorers of the 21st century.",VC,$500000,$3000000
Adip VC,https://www.adipvc.com/,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Adit Ventures,https://aditventures.vc/,"New York, New York, United States",USA,,,Family office,,
Adjuvant Capital,https://adjuvantcapital.com/,,,,,Other,,
Admitad Invest,https://admitadinvest.com,"Moscow, Moscow City, Russian Federation",Russia,,,Corporate VC,,
ADP Invest,https://www.parisaeroport.fr/en/group/group-strategy/our-strategy/innovation/invest,,France,3. Early Revenue,,Corporate VC,,
ADV Accelerated Digital Ventures,https://accelerated.ventures/,UK,UK,3. Early Revenue,,VC,,
Advancit Capital,http://www.advancitcapital.com/,"Norwood, Massachusetts, United States",USA,,,Other,,
Advantage,https://www.advantagesportsfund.com/,,,"3. Early Revenue,4. Scaling",We invest in early-stage technology companies aimed at shaping the future of sports.,VC,$1000000,$2000000
Advantage Capital,http://www.advantagecap.com/,"New Orleans, Louisiana, United States",USA,3. Early Revenue,,VC,$500000,
Advent Venture Partners,https://www.adventventures.com/,,"UK,USA,France",3. Early Revenue,,VC,,
Advisors.fund,https://www.advisors.fund/,,,"2. Prototype,3. Early Revenue",,VC,,
Aegis Venture Funds,https://www.aegiscapcorp.com/,,,,,VC,,
Aescuvest,https://www.aescuvest.eu/,"Hanauer Landstraße 328, 60314 Frankfurt am Main, Germany","Germany,Israel,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Sweden,Finland,France,Greece,Hungary,Ireland,Norway,Spain,Portugal,Ukraine,UK,Switzerland",3. Early Revenue,"We invest in medical breakthrough innovations in the areas of: digital drug, digital device and digital detection and diagnosis.",VC,$1000000,$5000000
Affiniti VC,http://www.affiniti.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Aflac Innovation Partners,https://aflacinnovationpartners.com/en/,,Japan,,,Corporate VC,,
